"","ID","type","WP..RTK.GPS.","latitude","longitude","Atltitude..m.","date..GPS.","time..GPS.","Environ","Sp01","Sp02","Sp03","Sp04","Sp04_la","akeroy.blue","akeroy.green","akeroy.nir.","akeroy.red.","akeroy.red.edge"
"1",1,"RTK",20,59.05292888,10.88738281,-0.236,"27/08/2019","13:51:57","below water","no veg","sand","sand","sand","sand",0.0507574379444122,0.0669926777482033,0.0923967733979225,0.0613644495606422,0.0835977122187614
"2",2,"RTK",NA,59.05292795,10.88731641,-0.25,"27/08/2019","13:52:13","below water","no veg","sand","sand","sand","sand",0.0638870075345039,0.0695051103830338,0.0704287216067314,0.0696540698409081,0.0725924521684647
"3",3,"RTK",NA,59.05292969,10.88724877,-0.197,"27/08/2019","13:52:31","below water","no veg","sand","sand","sand","sand",0.0506811365485191,0.0595763064920902,0.0690505802631378,0.0596589371562004,0.0652564167976379
"4",4,"RTK",NA,59.0529779,10.88723758,-0.403,"27/08/2019","13:53:05","below water","no veg","sand","sand","sand","sand",0.0475444309413433,0.0644716769456863,0.0446089170873165,0.0631341487169266,0.0577566474676132
"5",5,"RTK",NA,59.05292729,10.88731788,-0.259,"27/08/2019","13:54:26","below water","no veg","sand","sand","sand","sand",0.0635636150836945,0.0727446749806404,0.0739978402853012,0.0717901065945625,0.0703247115015984
"6",6,"RTK",NA,59.05297076,10.88733374,-0.44,"27/08/2019","13:55:19","below water","no veg","sand","sand","sand","sand",0.0460262298583984,0.0643139258027077,0.0393380485475063,0.059088122099638,0.0544850304722786
"7",7,"RTK",NA,59.05300055,10.88733937,-0.582,"27/08/2019","13:56:24","below water","no veg","sand","sand","sand","sand",0.0373475514352322,0.05892688408494,0.0345418155193329,0.0499898977577686,0.0445099547505379
"8",8,"RTK",NA,59.05304366,10.88741461,-0.364,"27/08/2019","14:02:14","below water","no veg","sand","sand","sand","sand",0.0299483966082335,0.0524852760136127,0.0281955692917109,0.0418417043983936,0.0305532570928335
"9",9,"RTK",NA,59.05308663,10.88745226,-0.613,"27/08/2019","14:03:21","below water","no veg","sand","sand","sand","sand",0.0254922471940517,0.0468641445040703,0.0252289418131113,0.0350347757339478,0.0247648451477289
"10",10,"RTK",NA,59.0531557,10.88751681,-0.856,"27/08/2019","14:04:07","below water","no veg","sand","sand","sand","sand",0.0219621062278748,0.0403635613620281,0.0242459271103144,0.0295521821826696,0.0178620461374521
"11",11,"RTK",NA,59.05290805,10.88757302,-0.106,"27/08/2019","14:15:14","below water","veg","seaweed","Green algae","Green algae","Green algae",0.029426759108901,0.0633947104215622,0.181549280881882,0.0346084609627724,0.146222829818726
"12",12,"RTK",NA,59.05291227,10.88759708,-0.148,"27/08/2019","14:16:10","below water","veg","seaweed","Green algae","Green algae","Green algae",0.0567103400826454,0.0941188335418701,0.205827981233597,0.0667788162827492,0.165896490216255
"13",13,"RTK",NA,59.05292995,10.88766606,-0.355,"27/08/2019","14:17:17","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0219452586025,0.0304768700152636,0.113007001578808,0.0227418374270201,0.0761896669864655
"14",14,"RTK",NA,59.05293439,10.88764163,-0.37,"27/08/2019","14:17:53","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.022629315033555,0.0341737009584904,0.224682688713074,0.02233512327075,0.12259229272604
"15",15,"RTK",NA,59.05293229,10.88772053,-0.275,"27/08/2019","14:18:53","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0293384417891502,0.0437186881899834,0.062368530780077,0.0342949666082859,0.0581804737448692
"16",16,"RTK",NA,59.05294334,10.88774664,-0.404,"27/08/2019","14:19:56","below water","no veg","sand","sand","sand","sand",0.0469336397945881,0.0732436701655388,0.0460049323737621,0.0657904222607613,0.0630455762147903
"17",17,"RTK",NA,59.05297391,10.88776088,-0.304,"27/08/2019","14:20:51","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0232814941555262,0.0318656265735626,0.236815437674522,0.0223406050354242,0.117596544325352
"18",18,"RTK",NA,59.05292487,10.88787073,0.111,"27/08/2019","14:22:12","above water","veg","seaweed","Green algae","Green algae","Green algae",0.0344066843390465,0.0876305624842644,0.275258541107178,0.0406388863921165,0.208493128418922
"19",19,"RTK",NA,59.05291155,10.88786127,0.109,"27/08/2019","14:22:47","above water","veg","seaweed","Green algae","Green algae","Green algae",0.0321044400334358,0.0754689574241638,0.189592570066452,0.0379617139697075,0.170809611678123
"20",20,"RTK",NA,59.05294955,10.88784021,0.171,"27/08/2019","14:23:32","above water","veg","lichen","Lichen","Lichen","Lichen",0.0468385219573975,0.0568792372941971,0.139426708221436,0.0497288592159748,0.078460618853569
"21",21,"RTK",NA,59.05306793,10.88799541,0.092,"27/08/2019","14:24:26","above water","veg","lichen","Lichen","Lichen","Lichen",0.0499322190880775,0.0635040253400803,0.168091326951981,0.0564593151211739,0.0947305858135223
"22",22,"RTK",NA,59.05306821,10.88799541,0.085,"27/08/2019","14:24:33","above water","veg","lichen","Lichen","Lichen","Lichen",0.0499322190880775,0.0635040253400803,0.168091326951981,0.0564593151211739,0.0947305858135223
"23",23,"RTK",NA,59.05304949,10.88805374,0.146,"27/08/2019","14:25:07","above water","veg","lichen","Lichen","Lichen","Lichen",0.0521293431520462,0.0657923445105553,0.173165753483772,0.0599664151668549,0.0960148796439171
"24",24,"RTK",NA,59.05317729,10.8880963,0.129,"27/08/2019","14:26:12","above water","veg","lichen","Lichen","Lichen","Lichen",0.0608125515282154,0.0784568339586258,0.179530084133148,0.0697642490267754,0.119344435632229
"25",25,"RTK",NA,59.05319981,10.88810327,-0.332,"27/08/2019","14:27:20","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0165679305791855,0.0219937805086374,0.243356421589851,0.0156286153942347,0.107961766421795
"26",26,"RTK",NA,59.05327177,10.88842632,0.155,"27/08/2019","14:29:10","above water","veg","lichen","Lichen","Lichen","Lichen",0.0701098814606667,0.0872797816991806,0.199047327041626,0.0773172006011009,0.124692536890507
"27",27,"RTK",NA,59.05333088,10.88846527,-0.346,"27/08/2019","14:31:49","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0177743174135685,0.0234713591635227,0.228027880191803,0.016535647213459,0.102513425052166
"28",28,"RTK",NA,59.05353331,10.88906709,-0.089,"27/08/2019","14:34:59","below water","veg","seaweed","Green algae","Green algae","Green algae",0.0213694795966148,0.0397977530956268,0.236352369189262,0.0250450503081083,0.137801364064217
"29",29,"RTK",NA,59.05335985,10.88975512,-0.636,"27/08/2019","14:41:06","below water","veg","seaweed","Green algae","Green algae","Green algae",0.0214804708957672,0.0234831757843494,0.0563438311219215,0.0175976157188416,0.0623415671288967
"30",30,"RTK",NA,59.0533597,10.88975581,-0.637,"27/08/2019","14:41:37","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0214804708957672,0.0234831757843494,0.0563438311219215,0.0175976157188416,0.0623415671288967
"31",31,"RTK",NA,59.053221,10.88974095,-0.636,"27/08/2019","14:43:59","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0213596913963556,0.0225378107279539,0.0544235818088055,0.0173187647014856,0.0613369271159172
"32",32,"RTK",NA,59.05340988,10.88978813,-0.512,"27/08/2019","14:46:47","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0205517522990704,0.0236448775976896,0.0661568939685822,0.0161979217082262,0.0753072276711464
"33",33,"RTK",NA,59.04497038,10.87498564,-0.207,"27/08/2019","15:07:35","below water","veg","seaweed","Red Algae","Red Algae","Red Algae",0.0151907252147794,0.0136336125433445,0.0379603840410709,0.0158439297229052,0.0715694725513458
"34",34,"RTK",NA,59.04495062,10.8751549,-0.394,"27/08/2019","15:10:58","below water","veg","seaweed","Red Algae","Red Algae","Red Algae",0.0159636680036783,0.0128401014953852,0.0279600750654936,0.0144166350364685,0.0424851514399052
"35",35,"RTK",NA,59.04501216,10.87514926,0.443,"27/08/2019","15:14:32","terrestrial ","no veg","rock","rock","rock","rock",0.29489740729332,0.247317165136337,0.399001598358154,0.285586506128311,0.357722222805023
"36",36,"RTK",NA,59.04504124,10.87499788,0.381,"27/08/2019","15:15:17","terrestrial ","no veg","rock","rock","rock","rock",0.351352661848068,0.324795246124268,0.40081188082695,0.366600543260574,0.399660795927048
"37",37,"RTK",NA,59.04499199,10.87549457,0.612,"27/08/2019","15:17:01","terrestrial ","veg","lichen","Lichen","Lichen","Lichen",0.0664397552609444,0.068074494600296,0.169324666261673,0.0640783980488777,0.0971243679523468
"38",38,"RTK",NA,59.04487954,10.87572027,-0.296,"27/08/2019","15:22:11","below water","veg","seaweed","Red Algae","Red Algae","Red Algae",0.0146701028570533,0.0169924050569534,0.0338342823088169,0.0170060358941555,0.0585596188902855
"39",39,"RTK",NA,59.04501811,10.87620589,-0.213,"27/08/2019","15:25:54","below water","veg","seaweed","Green algae","Green algae","Green algae",0.0148114757612348,0.0301333200186491,0.0497263483703136,0.017591105774045,0.0781595855951309
"40",40,"RTK",NA,59.04503123,10.87640835,0.995,"27/08/2019","15:27:45","terrestrial ","veg","lichen","Lichen","Lichen","Lichen",0.0373411439359188,0.0453038178384304,0.133714869618416,0.0529725104570389,0.0742276683449745
"41",41,"RTK",NA,59.04321614,10.87922128,-0.219,"27/08/2019","15:49:24","below water","no veg","sand","sand","sand","sand",0.0873370841145515,0.118392832577229,0.0699124559760094,0.115583524107933,0.114835441112518
"42",42,"RTK",NA,59.04323318,10.87921179,-0.488,"27/08/2019","15:50:50","below water","no veg","sand","sand","sand","sand",0.0489483140408993,0.0822755992412567,0.0243481379002333,0.0708760842680931,0.0575916953384876
"43",43,"RTK",NA,59.04325414,10.87924554,-0.75,"27/08/2019","15:51:48","below water","no veg","sand","sand","sand","sand",0.0336350910365582,0.0681651681661606,0.0167484264820814,0.0524419136345387,0.0337911173701286
"44",44,"RTK",NA,59.04330147,10.87926803,-1.198,"27/08/2019","15:53:27","below water","no veg","sand","sand","sand","sand",0.0211810283362865,0.0430601723492146,0.0133275771513581,0.0265980456024408,0.0161676369607449
"45",45,"RTK",NA,59.04326345,10.87936045,-0.31,"27/08/2019","15:55:09","below water","veg","seaweed","brown algae","bladder wrack","fucus vesiculosus",0.0116641195490956,0.0136396707966924,0.0646549165248871,0.00938568077981472,0.0489222854375839
"46",46,"RTK",NA,59.04325667,10.87938087,-0.608,"27/08/2019","0.664583333","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0115811713039875,0.0143665056675673,0.0270189922302961,0.00942824501544237,0.0328891612589359
"47",47,"RTK",NA,59.04186465,10.88314291,-0.676,"27/08/2019","16:03:17","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0140371257439256,0.0164156854152679,0.0251846350729465,0.0121311750262976,0.0307151824235916
"48",48,"RTK",NA,59.04185597,10.88314862,-0.428,"27/08/2019","16:04:26","below water","veg","seaweed","brown algae","bladder wrack","bladder wrack",0.0146045293658972,0.0156061528250575,0.0349941216409206,0.0122081739827991,0.0351150594651699
"49",49,"RTK",NA,59.04182319,10.88316144,-0.317,"27/08/2019","16:06:20","below water","veg","seaweed","brown algae","bladder wrack","bladder wrack",0.0147877121344209,0.0173488110303879,0.0578033439815044,0.0113493707031012,0.054226528853178
"50",50,"RTK",NA,59.04178815,10.88316168,-0.41,"27/08/2019","16:08:13","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0147845325991511,0.0213712397962809,0.0371634848415852,0.0120134083554149,0.0615244619548321
"51",51,"RTK",NA,59.0417836,10.88320059,-0.601,"27/08/2019","16:08:59","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0143673224374652,0.0168090313673019,0.0345904640853405,0.0118176126852632,0.0484148487448692
"52",52,"RTK",NA,59.04177131,10.88323108,-0.67,"27/08/2019","16:09:49","below water","veg","seaweed","brown algae","fucus serratus ","fucus serratus ",0.0145241785794497,0.0181588791310787,0.0273831877857447,0.0110984425991774,0.0378014221787453
"53",137,"drop cam",203,59.03712102,10.87304,NA,"26/08/2019","14:11:49","below water","","","","","",NA,NA,NA,NA,NA
"54",138,"drop cam",204,59.03802501,10.87276096,NA,"26/08/2019","14:17:34","below water","","","","","",NA,NA,NA,NA,NA
"55",139,"drop cam",205,59.03833204,10.87055703,NA,"26/08/2019","14:21:04","below water","","","","","",NA,NA,NA,NA,NA
"56",140,"drop cam",206,59.03911097,10.872034,NA,"26/08/2019","14:23:36","below water","","","","","",NA,NA,NA,NA,NA
"57",141,"drop cam",207,59.04034797,10.87146001,NA,"26/08/2019","14:26:29","below water","","","","","",NA,NA,NA,NA,NA
"58",142,"drop cam",208,59.04149001,10.87142799,NA,"26/08/2019","14:29:01","below water","","","","","",NA,NA,NA,NA,NA
"59",143,"drop cam",209,59.04284301,10.87156202,NA,"26/08/2019","14:32:09","below water","","","","","",NA,NA,NA,NA,NA
"60",144,"drop cam",210,59.044035,10.87115801,NA,"26/08/2019","14:35:33","below water","","","","","",NA,NA,NA,NA,NA
"61",145,"drop cam",211,59.04471503,10.871042,NA,"26/08/2019","14:37:29","below water","","","","","",0.0158562641590834,0.016345102339983,0.010279493406415,0.00987929385155439,0.00836557801812887
"62",146,"drop cam",212,59.04482198,10.87106204,NA,"26/08/2019","14:38:35","below water","","","","","",0.016806498169899,0.0170772224664688,0.0157286580651999,0.0120394630357623,0.0109151778742671
"63",147,"drop cam",213,59.04490303,10.87104301,NA,"26/08/2019","14:39:15","below water","","","","","",0.020810766145587,0.018413670361042,0.0204684734344482,0.014297666028142,0.019942432641983
"64",148,"drop cam",214,59.044969,10.87451496,NA,"26/08/2019","14:41:29","below water","","","","","",0.0133143290877342,0.0122580556198955,0.0140384519472718,0.00959405954927206,0.0118320668116212
"65",149,"drop cam",215,59.04473296,10.87455302,NA,"26/08/2019","14:42:59","below water","","","","","",0.0136599643155932,0.013322226703167,0.00965481251478195,0.00826153345406055,0.00693152425810695
"66",150,"drop cam",216,59.04407599,10.87476298,NA,"26/08/2019","14:44:08","below water","","","","","",0.024155531078577,0.0283574145287275,0.0172229297459126,0.0139280054718256,0.0145217142999172
"67",151,"drop cam",217,59.04280303,10.87512097,NA,"26/08/2019","14:45:57","below water","","","","","",NA,NA,NA,NA,NA
"68",152,"drop cam",219,59.04188597,10.87644196,NA,"26/08/2019","14:48:53","below water","","","","","",0.013086418621242,0.0114506157115102,0.00662539340555668,0.0088483951985836,0.00992605835199356
"69",153,"drop cam",220,59.04194699,10.87658999,NA,"26/08/2019","14:50:30","below water","","","","","",0.0124045806005597,0.0131436493247747,0.00624470785260201,0.00764986453577876,0.014197364449501
"70",154,"drop cam",221,59.04192897,10.87676198,NA,"26/08/2019","14:51:27","below water","","","","","",0.011208145879209,0.0101106371730566,0.0092863729223609,0.0081006120890379,0.0223761312663555
"71",155,"drop cam",222,59.04179804,10.87680498,NA,"26/08/2019","14:52:13","below water","","","","","",0.0124554270878434,0.0148081025108695,0.0067124986089766,0.00778390234336257,0.0112970191985369
"72",156,"drop cam",223,59.04170098,10.87655897,NA,"26/08/2019","14:53:41","below water","","","","","",0.0113993342965841,0.0119719170033932,0.00448781717568636,0.00684267375618219,0.00670656934380531
"73",157,"drop cam",224,59.04178496,10.87616301,NA,"26/08/2019","14:54:55","below water","","","","","",0.0119333323091269,0.0128831584006548,0.00396929122507572,0.00769469840452075,0.00720962835475802
"74",158,"drop cam",225,59.04126101,10.87523899,NA,"26/08/2019","14:56:42","below water","","","","","",NA,NA,NA,NA,NA
"75",159,"drop cam",226,59.040181,10.87494596,NA,"26/08/2019","15:00:28","below water","","","","","",NA,NA,NA,NA,NA
"76",160,"drop cam",227,59.03881199,10.87478,NA,"26/08/2019","15:02:19","below water","","","","","",NA,NA,NA,NA,NA
"77",161,"drop cam",228,59.03796198,10.87505199,NA,"26/08/2019","15:03:45","below water","","","","","",NA,NA,NA,NA,NA
"78",162,"drop cam",230,59.03798503,10.87797903,NA,"26/08/2019","15:22:32","below water","","","","","",NA,NA,NA,NA,NA
"79",163,"drop cam",231,59.03668801,10.87838396,NA,"26/08/2019","15:25:47","below water","","","","","",NA,NA,NA,NA,NA
"80",164,"drop cam",232,59.03489898,10.87783604,NA,"26/08/2019","15:28:37","below water","","","","","",NA,NA,NA,NA,NA
"81",165,"drop cam",233,59.03933099,10.87828598,NA,"26/08/2019","15:33:39","below water","","","","","",NA,NA,NA,NA,NA
"82",166,"drop cam",234,59.04054402,10.878375,NA,"26/08/2019","15:36:40","below water","","","","","",0.0126878684386611,0.0133531400933862,0.00473239971324801,0.00759965507313609,0.00503600714728236
"83",167,"drop cam",235,59.04120896,10.87849502,NA,"26/08/2019","15:39:53","below water","","","","","",0.0118576800450683,0.0120237823575735,0.00631739897653461,0.00742239551618695,0.00660226866602898
"84",168,"drop cam",236,59.04132002,10.87841498,NA,"26/08/2019","15:40:58","below water","","","","","",0.0119465719908476,0.0116293225437403,0.00794804003089666,0.00711884070187807,0.0146242594346404
